id_customer,customer_name,segment
DB-13060,Dave Brooks,Consumer
NP-18670,Nora Paige,Consumer
TT-21070,Ted Trevino,Consumer
EM-13960,Eric Murdock,Consumer
RD-19900,Ruben Dartt,Consumer
MJ-17740,Max Jones,Consumer
BM-11140,Becky Martin,Consumer
CS-12130,Chad Sievert,Consumer
JB-15400,Jennifer Braxton,Corporate
SJ-20500,Shirley Jackson,Consumer
JK-15640,Jim Kriz,Home Office
DK-13150,David Kendrick,Corporate
RM-19675,Robert Marley,Home Office
SK-19990,Sally Knutson,Consumer
FM-14290,Frank Merwin,Home Office
AM-10360,Alice McCarthy,Corporate
MP-17470,Mark Packer,Home Office
MZ-17515,Mary Zewe,Corporate
CB-12025,Cassandra Brandow,Consumer
VM-21685,Valerie Mitchum,Home Office
FH-14365,Fred Hopkins,Corporate
MB-17305,Maria Bertelson,Consumer
BS-11755,Bruce Stewart,Consumer
LC-17140,Logan Currie,Consumer
HK-14890,Heather Kirkland,Corporate
LE-16810,Laurel Elliston,Consumer
JH-15985,Joseph Holt,Consumer
MS-17980,Michael Stewart,Corporate
VW-21775,Victoria Wilson,Corporate
JH-15910,Jonathan Howell,Consumer
JB-15925,Joni Blumstein,Consumer
DS-13180,David Smith,Corporate
VD-21670,Valerie Dominguez,Consumer
EA-14035,Erin Ashbrook,Corporate
DB-13120,David Bremer,Corporate
KL-16645,Ken Lonsdale,Consumer
DW-13480,Dianna Wilson,Home Office
LH-17155,Logan Haushalter,Consumer
KC-16540,Kelly Collister,Consumer
DL-13315,Delfina Latchford,Consumer
DR-12880,Dan Reichenbach,Corporate
CC-12670,Craig Carreira,Consumer
Dl-13600,Dorris liebe,Corporate
SB-20290,Sean Braxton,Corporate
RC-19825,Roy Collins,Consumer
AH-10210,Alan Hwang,Consumer
CB-12535,Claudia Bergmann,Corporate
CA-12310,Christine Abelman,Corporate
KH-16690,Kristen Hastings,Corporate
BB-10990,Barry Blumstein,Corporate
AG-10495,Andrew Gjertsen,Corporate
JO-15280,Jas O'Carroll,Consumer
AH-10195,Alan Haines,Corporate
NZ-18565,Nick Zandusky,Home Office
KL-16555,Kelly Lampkin,Corporate
AS-10225,Alan Schoenberger,Corporate
CR-12625,Corey Roper,Home Office
SH-20395,Shahid Hopkins,Consumer
BP-11185,Ben Peterman,Corporate
TS-21205,Thomas Seio,Corporate
AG-10525,Andy Gerbode,Corporate
SP-20860,Sung Pak,Corporate
NM-18445,Nathan Mautz,Home Office
FA-14230,Frank Atkinson,Corporate
GK-14620,Grace Kelly,Corporate
DJ-13510,Don Jones,Corporate
PO-18850,Patrick O'Brill,Consumer
JL-15850,John Lucas,Consumer
DB-13615,Doug Bickford,Consumer
AC-10420,Alyssa Crouse,Corporate
CC-12550,Clay Cheatham,Consumer
TD-20995,Tamara Dahlen,Consumer
AB-10060,Adam Bellavance,Home Office
JL-15505,Jeremy Lonsdale,Consumer
VB-21745,Victoria Brennan,Corporate
KW-16435,Katrina Willman,Consumer
JD-16060,Julia Dunbar,Consumer
MK-17905,Michael Kennedy,Corporate
GT-14755,Guy Thornton,Consumer
AG-10900,Arthur Gainer,Consumer
MM-18280,Muhammed MacIntyre,Corporate
AR-10405,Allen Rosenblatt,Corporate
RA-19915,Russell Applegate,Consumer
AS-10285,Alejandro Savely,Corporate
LA-16780,Laura Armstrong,Corporate
DO-13435,Denny Ordway,Consumer
DK-13225,Dean Katz,Corporate
NG-18430,Nathan Gelder,Consumer
MV-18190,Mike Vittorini,Consumer
JG-15115,Jack Garza,Consumer
BP-11095,Bart Pistole,Corporate
VP-21730,Victor Preis,Home Office
SS-20140,Saphhira Shifley,Corporate
AG-10675,Anna Gayman,Consumer
LF-17185,Luke Foster,Consumer
RF-19840,Roy Französisch,Consumer
KH-16510,Keith Herrera,Consumer
KC-16675,Kimberly Carter,Corporate
CJ-12010,Caroline Jumper,Consumer
PB-19150,Philip Brown,Consumer
MP-17965,Michael Paige,Corporate
NF-18385,Natalie Fritzler,Consumer
SD-20485,Shirley Daniels,Home Office
KH-16630,Ken Heidel,Corporate
RB-19795,Ross Baird,Home Office
MK-18160,Mike Kennedy,Consumer
PO-19180,Philisse Overcash,Home Office
BB-11545,Brenda Bowman,Corporate
TB-21595,Troy Blackwell,Consumer
RB-19360,Raymond Buch,Consumer
EB-13705,Ed Braxton,Corporate
SC-20095,Sanjit Chand,Consumer
TN-21040,Tanja Norvell,Home Office
JS-15940,Joni Sundaresam,Home Office
MH-17785,Maya Herman,Corporate
JP-15520,Jeremy Pistek,Consumer
JE-15475,Jeremy Ellison,Consumer
JG-15805,John Grady,Corporate
XP-21865,Xylona Preis,Consumer
EM-14065,Erin Mull,Consumer
MT-18070,Michelle Tran,Home Office
SA-20830,Sue Ann Reed,Consumer
CW-11905,Carl Weiss,Home Office
AJ-10960,Astrea Jones,Consumer
SS-20590,Sonia Sunley,Consumer
RO-19780,Rose O'Brian,Consumer
MD-17350,Maribeth Dona,Consumer
MY-17380,Maribeth Yedwab,Corporate
CM-12385,Christopher Martinez,Consumer
LS-17245,Lynn Smith,Consumer
BN-11515,Bradley Nguyen,Consumer
DB-13210,Dean Braden,Consumer
MC-17605,Matt Connell,Corporate
BD-11605,Brian Dahlen,Consumer
PH-18790,Patricia Hirasaki,Home Office
MG-18145,Mike Gockenbach,Consumer
KB-16240,Karen Bern,Corporate
JC-15340,Jasper Cacioppo,Consumer
RL-19615,Rob Lucas,Consumer
AA-10375,Allen Armold,Consumer
EP-13915,Emily Phan,Consumer
DK-12985,Darren Koutras,Consumer
BD-11500,Bradley Drucker,Consumer
LM-17065,Liz MacKendrick,Consumer
AS-10135,Adrian Shami,Home Office
BD-11320,Bill Donatelli,Consumer
GT-14710,Greg Tran,Consumer
AJ-10945,Ashley Jarboe,Consumer
OT-18730,Olvera Toch,Consumer
LP-17080,Liz Pelletier,Consumer
CA-12775,Cynthia Arntzen,Consumer
JF-15490,Jeremy Farry,Consumer
FP-14320,Frank Preis,Consumer
EB-13840,Ellis Ballard,Corporate
JF-15415,Jennifer Ferguson,Consumer
SF-20200,Sarah Foster,Consumer
TG-21640,Trudy Glocke,Consumer
CS-11950,Carlos Soltero,Consumer
CC-12145,Charles Crestani,Consumer
DV-13465,Dianna Vittorini,Consumer
BD-11725,Bruce Degenhardt,Consumer
ZC-21910,Zuschuss Carroll,Consumer
MS-17830,Melanie Seite,Consumer
LR-16915,Lena Radford,Consumer
TP-21130,Theone Pippenger,Consumer
CK-12205,Chloris Kastensmidt,Consumer
AS-10240,Alan Shonely,Consumer
AR-10510,Andrew Roberts,Consumer
NB-18655,Nona Balk,Corporate
GD-14590,Giulietta Dortch,Corporate
CK-12595,Clytie Kelty,Consumer
NG-18355,Nat Gilpin,Corporate
CA-12265,Christina Anderson,Consumer
SF-20965,Sylvia Foulston,Corporate
MO-17800,Meg O'Connel,Home Office
AT-10735,Annie Thurman,Consumer
FM-14380,Fred McMath,Consumer
DJ-13420,Denny Joy,Corporate
ME-17725,Max Engle,Consumer
JD-16150,Justin Deggeller,Corporate
JL-15835,John Lee,Consumer
SC-20305,Sean Christensen,Consumer
CC-12430,Chuck Clark,Home Office
AR-10825,Anthony Rawles,Corporate
SR-20740,Steven Roelle,Home Office
CR-12730,Craig Reiter,Consumer
EH-14125,Eugene Hildebrand,Home Office
SP-20545,Sibella Parks,Corporate
TH-21235,Tiffany House,Corporate
RP-19390,Resi Pölking,Consumer
RB-19570,Rob Beeghly,Consumer
CD-11980,Carol Darley,Consumer
DJ-13630,Doug Jacobs,Consumer
GT-14635,Grant Thornton,Corporate
MC-17845,Michael Chen,Consumer
RA-19285,Ralph Arnett,Consumer
NP-18325,Naresj Patel,Consumer
AB-10165,Alan Barnes,Consumer
JO-15550,Jesus Ocampo,Home Office
JK-15370,Jay Kimmel,Consumer
BN-11470,Brad Norvell,Corporate
DP-13165,David Philippe,Consumer
TH-21550,Tracy Hopkins,Home Office
AP-10915,Arthur Prichep,Consumer
RS-19765,Roland Schwarz,Corporate
SV-20365,Seth Vernon,Consumer
CK-12325,Christine Kargatis,Home Office
RD-19810,Ross DeVincentis,Home Office
MR-17545,Mathew Reese,Home Office
SC-20695,Steve Chapman,Corporate
JF-15355,Jay Fein,Consumer
EG-13900,Emily Grady,Consumer
DS-13030,Darrin Sayre,Home Office
PO-19195,Phillina Ober,Home Office
SS-20875,Sung Shariari,Consumer
PB-19105,Peter Bühler,Consumer
RF-19735,Roland Fjeld,Consumer
YC-21895,Yoseph Carroll,Corporate
DC-13285,Debra Catini,Consumer
CP-12340,Christine Phan,Corporate
BF-11020,Barry Französisch,Corporate
LH-17020,Lisa Hazard,Consumer
CS-12250,Chris Selesnick,Corporate
AJ-10795,Anthony Johnson,Corporate
BV-11245,Benjamin Venier,Corporate
DL-12865,Dan Lawera,Consumer
BM-11785,Bryan Mills,Consumer
LT-17110,Liz Thompson,Consumer
JK-15730,Joe Kamberova,Consumer
ES-14020,Erica Smith,Consumer
RH-19495,Rick Hansen,Consumer
CD-11920,Carlos Daly,Consumer
HW-14935,Helen Wasserman,Corporate
MC-18130,Mike Caudle,Corporate
GM-14440,Gary McGarr,Consumer
PJ-19015,Pauline Johnson,Consumer
BW-11110,Bart Watters,Corporate
TR-21325,Toby Ritter,Consumer
PG-18820,Patrick Gardner,Consumer
JL-15175,James Lanier,Home Office
BM-11650,Brian Moss,Corporate
EM-14095,Eudokia Martin,Corporate
AF-10885,Art Foster,Consumer
GA-14725,Guy Armstrong,Consumer
CK-12760,Cyma Kinney,Corporate
DP-13105,Dave Poirier,Corporate
BK-11260,Berenike Kampe,Consumer
SJ-20125,Sanjit Jacobs,Home Office
CM-12445,Chuck Magee,Consumer
AJ-10780,Anthony Jacobs,Corporate
LS-16945,Linda Southworth,Corporate
GP-14740,Guy Phonely,Corporate
PK-18910,Paul Knutson,Home Office
SM-20005,Sally Matthias,Consumer
AG-10765,Anthony Garverick,Home Office
PM-19135,Peter McVee,Home Office
LL-16840,Lauren Leatherbury,Consumer
JS-15595,Jill Stevenson,Corporate
EL-13735,Ed Ludwig,Home Office
PC-18745,Pamela Coakley,Corporate
HL-15040,Hunter Lopez,Consumer
MS-17365,Maribeth Schnelling,Consumer
GB-14530,George Bell,Corporate
JR-16210,Justin Ritter,Corporate
BE-11335,Bill Eplett,Home Office
SC-20050,Sample Company A,Home Office
RW-19630,Rob Williams,Corporate
SE-20110,Sanjit Engle,Consumer
AH-10075,Adam Hart,Corporate
JM-15535,Jessica Myrick,Consumer
JJ-15760,Joel Jenkins,Home Office
RK-19300,Ralph Kennedy,Consumer
CG-12040,Catherine Glotzbach,Home Office
RP-19270,Rachel Payne,Corporate
KC-16255,Karen Carlisle,Corporate
KH-16360,Katherine Hughes,Consumer
GH-14665,Greg Hansen,Consumer
SW-20275,Scott Williamson,Consumer
JA-15970,Joseph Airdo,Consumer
DL-12925,Daniel Lacy,Consumer
LW-16990,Lindsay Williams,Corporate
TB-21190,Thomas Brumley,Home Office
BS-11800,Bryan Spruell,Home Office
RW-19690,Robert Waldorf,Consumer
TZ-21580,Tracy Zic,Consumer
AS-10630,Ann Steele,Home Office
TS-21340,Toby Swindell,Consumer
SL-20155,Sara Luxemburg,Home Office
MW-18235,Mitch Willingham,Corporate
RD-19585,Rob Dowd,Consumer
RA-19945,Ryan Akin,Consumer
MT-17815,Meg Tillman,Consumer
VG-21790,Vivek Gonzalez,Consumer
JS-15880,John Stevenson,Consumer
KM-16225,Kalyca Meade,Corporate
HR-14770,Hallie Redmond,Home Office
DE-13255,Deanra Eno,Home Office
AG-10390,Allen Goldenen,Consumer
JJ-15445,Jennifer Jackson,Consumer
JH-15430,Jennifer Halladay,Consumer
RD-19660,Robert Dilbeck,Home Office
MO-17500,Mary O'Rourke,Consumer
NS-18640,Noel Staavos,Corporate
DG-13300,Deirdre Greer,Corporate
NF-18595,Nicole Fjeld,Home Office
MG-17650,Matthew Grinstein,Home Office
TS-21160,Theresa Swint,Corporate
BD-11620,Brian DeCherney,Consumer
CM-12160,Charles McCrossin,Consumer
SN-20560,Skye Norling,Home Office
EH-14005,Erica Hernandez,Home Office
FO-14305,Frank Olsen,Consumer
MS-17710,Maurice Satty,Consumer
CC-12100,Chad Cunningham,Home Office
DW-13540,Don Weiss,Consumer
BT-11395,Bill Tyler,Corporate
CY-12745,Craig Yedwab,Corporate
BT-11485,Brad Thomas,Home Office
PS-19045,Penelope Sewall,Home Office
PV-18985,Paul Van Hugh,Home Office
NM-18520,Neoma Murray,Consumer
DL-13495,Dionis Lloyd,Corporate
CS-12355,Christine Sundaresam,Consumer
FH-14275,Frank Hawley,Corporate
NC-18340,Nat Carroll,Consumer
AA-10315,Alex Avila,Consumer
LT-16765,Larry Tron,Consumer
AP-10720,Anne Pryor,Home Office
PM-18940,Paul MacIntyre,Consumer
AT-10435,Alyssa Tate,Home Office
CA-12055,Cathy Armstrong,Home Office
HR-14830,Harold Ryan,Corporate
BT-11530,Bradley Talbott,Home Office
LH-16750,Larry Hughes,Consumer
SW-20755,Steven Ward,Corporate
SP-20620,Stefania Perrino,Corporate
BF-11170,Ben Ferrer,Home Office
KT-16480,Kean Thornton,Consumer
BG-11695,Brooke Gillingham,Corporate
GM-14680,Greg Matthias,Consumer
EJ-14155,Eva Jacobs,Consumer
NP-18700,Nora Preis,Consumer
MH-18115,Mick Hernandez,Home Office
JR-15700,Jocasta Rupert,Consumer
SM-20950,Suzanne McNair,Corporate
CC-12220,Chris Cortes,Consumer
PF-19225,Phillip Flathmann,Consumer
DC-12850,Dan Campbell,Consumer
BD-11770,Bryan Davis,Consumer
GM-14500,Gene McClure,Consumer
TB-21355,Todd Boyes,Corporate
JH-16180,Justin Hirsh,Consumer
EB-13975,Erica Bern,Corporate
QJ-19255,Quincy Jones,Corporate
TC-21535,Tracy Collins,Home Office
CS-12460,Chuck Sachs,Consumer
HG-14965,Henry Goldwyn,Corporate
LW-16825,Laurel Workman,Corporate
MC-17575,Matt Collins,Consumer
LP-17095,Liz Preis,Consumer
EB-14170,Evan Bailliet,Consumer
GZ-14545,George Zrebassa,Corporate
CP-12085,Cathy Prescott,Corporate
FG-14260,Frank Gastineau,Home Office
LD-17005,Lisa DeCherney,Consumer
AB-10255,Alejandro Ballentine,Home Office
MN-17935,Michael Nguyen,Consumer
JR-15670,Jim Radford,Consumer
JF-15190,Jamie Frazer,Consumer
CM-12115,Chad McGuire,Consumer
AS-10045,Aaron Smayling,Corporate
BP-11290,Beth Paige,Consumer
ND-18370,Natalie DeCherney,Consumer
LB-16735,Larry Blacks,Consumer
KT-16465,Kean Takahito,Consumer
HM-14860,Harry Marie,Corporate
AB-10600,Ann Blume,Corporate
SZ-20035,Sam Zeldin,Home Office
MG-17890,Michael Granlund,Home Office
JK-16120,Julie Kriz,Home Office
PP-18955,Paul Prost,Home Office
YS-21880,Yana Sorensen,Corporate
KM-16375,Katherine Murray,Home Office
AB-10105,Adrian Barton,Consumer
HA-14905,Helen Abelman,Consumer
BT-11305,Beth Thompson,Home Office
SV-20815,Stuart Van,Corporate
RW-19540,Rick Wilson,Corporate
DK-12835,Damala Kotsonis,Corporate
ST-20530,Shui Tom,Consumer
MM-17920,Michael Moore,Consumer
PW-19030,Pauline Webber,Corporate
SC-20440,Shaun Chance,Corporate
TS-21085,Thais Sissman,Consumer
MC-17425,Mark Cousins,Corporate
ME-17320,Maria Etezadi,Home Office
NH-18610,Nicole Hansen,Corporate
MB-18085,Mick Brown,Consumer
KD-16495,Keith Dawkins,Corporate
KN-16390,Katherine Nockton,Corporate
NP-18685,Nora Pelletier,Home Office
CS-12505,Cindy Stewart,Consumer
MS-17770,Maxwell Schwartz,Consumer
CM-12655,Corinna Mitchell,Home Office
Co-12640,Corey-Lock,Consumer
TS-21370,Todd Sumrall,Corporate
JW-15220,Jane Waco,Corporate
JD-15790,John Dryer,Consumer
PC-19000,Pauline Chand,Home Office
AR-10540,Andy Reiter,Consumer
AI-10855,Arianne Irving,Consumer
TB-21400,Tom Boeckenhauer,Consumer
PL-18925,Paul Lucas,Home Office
GH-14425,Gary Hwang,Consumer
MP-18175,Mike Pelletier,Home Office
JM-15655,Jim Mitchum,Corporate
CL-11890,Carl Ludwig,Consumer
DB-13270,Deborah Brumfield,Home Office
IG-15085,Ivan Gibson,Consumer
BO-11425,Bobby Odegard,Consumer
AB-10150,Aimee Bixby,Consumer
JW-16075,Julia West,Consumer
EB-13750,Edward Becker,Corporate
SG-20470,Sheri Gordon,Consumer
CM-12190,Charlotte Melton,Consumer
AW-10840,Anthony Witt,Consumer
MC-18100,Mick Crebagga,Consumer
TT-21460,Tonja Turnell,Home Office
VG-21805,Vivek Grady,Corporate
MY-18295,Muhammed Yedwab,Corporate
RD-19480,Rick Duston,Consumer
DP-13390,Dennis Pardue,Home Office
ML-17395,Marina Lichtenstein,Corporate
JC-15385,Jenna Caffey,Consumer
JG-15160,James Galang,Consumer
MC-17275,Marc Crier,Consumer
NW-18400,Natalie Webber,Consumer
TB-21280,Toby Braunhardt,Consumer
BS-11380,Bill Stewart,Corporate
HH-15010,Hilary Holden,Corporate
CD-12280,Christina DeMoss,Consumer
TH-21100,Thea Hendricks,Consumer
MM-18055,Michelle Moray,Consumer
NS-18505,Neola Schneider,Consumer
RB-19645,Robert Barroso,Corporate
SW-20455,Shaun Weien,Consumer
EB-13930,Eric Barreto,Consumer
PS-18760,Pamela Stobb,Consumer
HF-14995,Herbert Flentye,Consumer
HZ-14950,Henia Zydlo,Consumer
CD-12790,Cynthia Delaney,Home Office
JK-15205,Jamie Kunitz,Consumer
FM-14215,Filia McAdams,Corporate
ED-13885,Emily Ducich,Home Office
DA-13450,Dianna Arnett,Home Office
JW-15955,Joni Wasserman,Consumer
RM-19375,Raymond Messe,Consumer
ML-17755,Max Ludwig,Home Office
CC-12685,Craig Carroll,Consumer
JE-15610,Jim Epp,Corporate
RP-19855,Roy Phan,Corporate
TB-21175,Thomas Boland,Corporate
BE-11455,Brad Eason,Home Office
JF-15565,Jill Fjeld,Consumer
PB-19210,Phillip Breyer,Corporate
BT-11680,Brian Thompson,Consumer
JL-15235,Janet Lee,Consumer
CH-12070,Cathy Hwang,Home Office
ND-18460,Neil Ducich,Corporate
BF-10975,Barbara Fisher,Corporate
KH-16330,Katharine Harms,Corporate
GW-14605,Giulietta Weimer,Consumer
NC-18625,Noah Childs,Corporate
ME-18010,Michelle Ellison,Corporate
BP-11230,Benjamin Patterson,Consumer
JC-15775,John Castell,Consumer
AS-10090,Adam Shillingsburg,Consumer
AC-10450,Amy Cox,Consumer
MD-17860,Michael Dominguez,Corporate
DB-13660,Duane Benoit,Consumer
EH-13990,Erica Hackney,Consumer
EH-13765,Edward Hooks,Corporate
SC-20230,Scot Coram,Corporate
JE-15715,Joe Elijah,Consumer
AC-10615,Ann Chong,Corporate
JD-16015,Joy Daniels,Consumer
CB-12415,Christy Brittain,Consumer
JS-16030,Joy Smith,Consumer
LW-17215,Luke Weiss,Consumer
SC-20800,Stuart Calhoun,Consumer
AM-10705,Anne McFarland,Consumer
RH-19510,Rick Huthwaite,Home Office
CT-11995,Carol Triggs,Consumer
MC-17590,Matt Collister,Corporate
CC-12610,Corey Catlett,Corporate
KA-16525,Kelly Andreada,Consumer
TC-20980,Tamara Chand,Corporate
BF-11080,Bart Folk,Consumer
MM-17260,Magdelene Morse,Consumer
AH-10120,Adrian Hane,Home Office
BW-11200,Ben Wallace,Consumer
SW-20245,Scot Wooten,Consumer
BS-11665,Brian Stugart,Consumer
RF-19345,Randy Ferguson,Corporate
WB-21850,William Brown,Consumer
TB-21625,Trudy Brown,Consumer
AF-10870,Art Ferguson,Consumer
RB-19435,Richard Bierner,Consumer
KF-16285,Karen Ferguson,Home Office
JH-15820,John Huston,Consumer
IL-15100,Ivan Liston,Consumer
PB-18805,Patrick Bzostek,Home Office
RH-19600,Rob Haberlin,Consumer
AW-10930,Arthur Wiediger,Home Office
ML-17410,Maris LaWare,Consumer
DB-13555,Dorothy Badders,Corporate
MH-17620,Matt Hagelstein,Corporate
DK-13375,Dennis Kane,Consumer
BT-11440,Bobby Trafton,Consumer
DB-13405,Denny Blanton,Consumer
TG-21310,Toby Gnade,Consumer
BF-11005,Barry Franz,Home Office
JM-16195,Justin MacKendrick,Consumer
MZ-17335,Maria Zettner,Home Office
MW-18220,Mitch Webber,Consumer
MV-17485,Mark Van Huff,Consumer
SM-20320,Sean Miller,Home Office
TP-21415,Tom Prescott,Consumer
JK-15625,Jim Karlsson,Consumer
PJ-18835,Patrick Jones,Corporate
RS-19420,Ricardo Sperren,Corporate
SV-20935,Susan Vittorini,Consumer
BC-11125,Becky Castell,Home Office
EM-13825,Elizabeth Moffitt,Corporate
BM-11575,Brendan Murry,Corporate
KN-16705,Kristina Nunn,Home Office
KW-16570,Kelly Williams,Consumer
SC-20260,Scott Cohen,Corporate
CV-12295,Christina VanderZanden,Consumer
SG-20605,Speros Goranitis,Consumer
TM-21010,Tamara Manning,Consumer
EM-13810,Eleni McCrary,Corporate
ML-18040,Michelle Lonsdale,Corporate
CR-12580,Clay Rozendal,Home Office
AZ-10750,Annie Zypern,Consumer
PW-19240,Pierre Wener,Consumer
SC-20380,Shahid Collister,Consumer
CM-11935,Carlos Meador,Consumer
GM-14695,Greg Maxwell,Corporate
TB-21250,Tim Brockman,Consumer
JM-15865,John Murray,Consumer
SC-20575,Sonia Cooley,Consumer
LS-17200,Luke Schmidt,Corporate
RR-19315,Ralph Ritter,Consumer
DB-12910,Daniel Byrd,Home Office
TT-21220,Thomas Thornton,Consumer
LO-17170,Lori Olson,Corporate
KD-16615,Ken Dana,Corporate
NB-18580,Nicole Brennan,Corporate
BD-11635,Brian Derr,Consumer
CM-12235,Chris McAfee,Consumer
EN-13780,Edward Nazzal,Consumer
KN-16450,Kean Nguyen,Corporate
BO-11350,Bill Overfelt,Corporate
AG-10300,Aleksandra Gannaway,Corporate
MC-17635,Matthew Clasen,Corporate
TA-21385,Tom Ashbrook,Home Office
JF-15295,Jason Fortune-,Consumer
TT-21265,Tim Taslimi,Corporate
SB-20170,Sarah Bern,Consumer
CL-12700,Craig Leslie,Home Office
HG-15025,Hunter Glantz,Consumer
NL-18310,Nancy Lomonaco,Home Office
RR-19525,Rick Reed,Corporate
TC-21295,Toby Carlisle,Consumer
SV-20785,Stewart Visinsky,Consumer
BE-11410,Bobby Elias,Consumer
SC-20680,Steve Carroll,Home Office
DF-13135,David Flashing,Consumer
FH-14350,Fred Harton,Consumer
MS-17530,MaryBeth Skach,Consumer
RH-19555,Ritsa Hightower,Consumer
GA-14515,George Ashbrook,Consumer
JP-16135,Julie Prescott,Home Office
Dp-13240,Dean percer,Home Office
MO-17950,Michael Oakman,Consumer
DL-13330,Denise Leinenbach,Consumer
MH-18025,Michelle Huthwaite,Consumer
DR-12940,Daniel Raglin,Home Office
DM-13015,Darrin Martin,Consumer
CA-11965,Carol Adams,Corporate
AC-10660,Anna Chung,Consumer
DM-13345,Denise Monton,Corporate
VF-21715,Vicky Freymann,Home Office
CC-12370,Christopher Conant,Consumer
BF-11275,Beth Fritzler,Corporate
HG-14845,Harry Greene,Consumer
BP-11155,Becky Pak,Consumer
EM-14140,Eugene Moren,Home Office
MA-17995,Michelle Arnett,Home Office
AY-10555,Andy Yotov,Corporate
GB-14575,Giulietta Baptist,Consumer
JB-16045,Julia Barnett,Home Office
MG-17875,Michael Grace,Home Office
SR-20425,Sharelle Roach,Home Office
JB-16000,Joy Bell-,Consumer
DM-12955,Dario Medina,Corporate
TC-21475,Tony Chapman,Home Office
SW-20350,Sean Wendt,Home Office
RE-19450,Richard Eichhorn,Consumer
BF-11215,Benjamin Farhat,Home Office
KB-16405,Katrina Bavinger,Home Office
JG-15310,Jason Gross,Corporate
EC-14050,Erin Creighton,Consumer
EB-14110,Eugene Barchas,Consumer
JP-15460,Jennifer Patt,Corporate
CS-11845,Cari Sayre,Corporate
GH-14410,Gary Hansen,Home Office
PT-19090,Pete Takahito,Consumer
JL-15130,Jack Lebron,Consumer
AH-10030,Aaron Hawkins,Corporate
CC-12475,Cindy Chapman,Consumer
DW-13195,David Wiener,Corporate
SJ-20215,Sarah Jordon,Consumer
BG-11740,Bruce Geld,Consumer
LB-16795,Laurel Beltran,Home Office
CM-11815,Candace McMahon,Corporate
EH-14185,Evan Henry,Consumer
TS-21505,Tony Sayre,Consumer
PR-18880,Patrick Ryan,Consumer
LC-17050,Liz Carlisle,Consumer
CS-12490,Cindy Schnelling,Corporate
DH-13075,Dave Hallsten,Corporate
JO-15145,Jack O'Briant,Corporate
AH-10690,Anna Häberlin,Corporate
HJ-14875,Heather Jas,Home Office
MH-17455,Mark Hamilton,Consumer
RD-19930,Russell D'Ascenzo,Consumer
SC-20020,Sam Craven,Consumer
SU-20665,Stephanie Ulpright,Home Office
FC-14335,Fred Chung,Corporate
RB-19330,Randy Bradley,Consumer
NC-18535,Nick Crebassa,Corporate
